,2019,2019,2019,2019,2019,2019,2019,2019,2018,2018,2018,2018,2018,2018,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2016,2016,2016,2016,2016,2016,2016,2016,2015,2015,2015,2015,2015,2015,2015,2015,2014,2014,2014,2014,2014,2014,2014,2014,,,,,,,,,,,,,,,,
,2.500달러 이하,3.500달러초과 1000달러이하,4.1000달러초과1500달러이하,5.1500달러초과 2000달러이하,6.2000달러초과 3000달러이하,7.3000달러 초과,8.최대금액 초과,9.평균(US$),2.500달러 이하,3.500달러초과 1000달러이하,4.1000달러초과1500달러이하,5.1500달러초과 2000달러이하,6.2000달러초과 3000달러이하,7.3000달러 초과,8.최대금액 초과,9.평균(US$),2.500달러 이하,3.500달러초과 1000달러이하,4.1000달러초과1500달러이하,5.1500달러초과 2000달러이하,6.2000달러초과 3000달러이하,7.3000달러 초과,8.최대금액 초과,9.평균(US$),2.500달러 이하,3.500달러초과 1000달러이하,4.1000달러초과1500달러이하,5.1500달러초과 2000달러이하,6.2000달러초과 3000달러이하,7.3000달러 초과,8.최대금액 초과,9.평균(US$),2.500달러 이하,3.500달러초과 1000달러이하,4.1000달러초과1500달러이하,5.1500달러초과 2000달러이하,6.2000달러초과 3000달러이하,7.3000달러 초과,8.최대금액 초과,9.평균(US$),2.500달러 이하,3.500달러초과 1000달러이하,4.1000달러초과1500달러이하,5.1500달러초과 2000달러이하,6.2000달러초과 3000달러이하,7.3000달러 초과,8.최대금액 초과,9.평균(US$),,,,,,,,,,,,,,,,
8.말레이시아,24.1,43.2,19.7,6.1,4.7,2.2,0,946.7,17.7,40.8,26,9.3,4.2,1.9,0,"1,035.90",17.4,38.5,20.7,12.2,6.2,3.7,1.3,"1,139.70",23,30.6,24.4,8.3,6.2,2.5,4.9,"1,032.60",26.1,31.7,17.6,10.1,7,4.6,2.8,"1,104.50",15.4,21.9,26.1,13.6,13.5,8.4,1,"1,462.00",,,,,,,,,,,,,,,,
16.중동,16.8,26.5,15.5,11.2,14.1,14.5,1.2,"1,696.50",11.6,25.6,18.4,12.2,15.1,14.5,2.6,"1,776.60",13.7,20.7,12.8,10,14.7,21.9,6.1,"2,231.70",8.8,13.3,11.3,6.8,16.3,32.6,10.8,"2,593.80",13.8,18.6,11.7,7.2,13.1,25.5,10.2,"2,245.50",12.3,8,5.9,3.5,13.7,34.4,22.2,"3,056.00",,,,,,,,,,,,,,,,
17.중앙아시아,19.7,26.9,16.7,10.9,11.5,13.2,1.1,"1,581.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.GCC,8.9,15.2,12.2,13.3,17.2,31.5,1.7,"2,558.80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.기타중동,14,33.4,14.5,10.8,19.7,6.4,1.2,"1,429.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.인도네시아,17.9,29.8,26.9,13,7.9,4.3,0.1,"1,233.20",20.7,32.4,24.1,10.2,8.4,3.4,0.8,"1,126.50",16.4,33.9,22.5,10.8,10.5,3.2,2.7,"1,202.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
