업체명(Korean),주소
롯데호텔 라세느,서울 중구 을지로 30 서울 중구 을지로 30
롯데호텔 룸서비스,서울 중구 을지로 30 서울 중구 을지로 30
메이필드호텔 낙원,서울 강서구 방화대로 94 서울 강서구 방화대로 94
메이필드호텔 라페스타,서울 강서구 방화대로 94 서울 강서구 방화대로 94
메이필드호텔 룸서비스,서울 강서구 방화대로 94 서울 강서구 방화대로 94
아마 신촌점,서울 서대문구 연세로7길 24 서울 서대문구 연세로7길 24
아마 홍대점,서울 마포구 양화로16길 10 서울 마포구 양화로16길 10
머노까머나 대학로점,서울 종로구 창경궁로 236 서울 종로구 창경궁로 236
머노까머나 신촌점,서울 서대문구 연세로11길 13 서울 서대문구 연세로11길 13
모로코코 카페,서울 용산구 신흥로34길 5 서울 용산구 신흥로34길 5
푸드 익스체인지,서울 용산구 청파로20길 95 서울 용산구 청파로20길 95
미진,서울 마포구 동교로 213 서울 마포구 동교로 213
동원참치,서울 마포구 공덕동 467 서울 마포구 공덕동 467
여우골초밥,서울 마포구 월드컵북로1길 20 서울 마포구 월드컵북로1길 20
(주)예티,서울 마포구 와우산로18길 10 서울 마포구 와우산로18길 10
알라메종 와인 앤 다인,서울 용산구 청파로20길 95 서울 용산구 청파로20길 95
인 스타일,서울 용산구 청파로20길 95 서울 용산구 청파로20길 95
스카이킹덤 더 리본,서울 용산구 청파로20길 95 서울 용산구 청파로20길 95
옷살,서울 관악구 관악로 164 서울 관악구 관악로 164
델리팰리스,서울 강서구 공항대로 269-15 서울 강서구 공항대로 269-15
인도야시장,서울 강남구 강남대로96길 11-4 서울 강남구 강남대로96길 11-4
야미요밀,서울 마포구 양화로7길 6-5 서울 마포구 양화로7길 6-5
겐지스 한양대점,서울 성동구 사근동길 6 서울 성동구 사근동길 6
인사동 팔도집,서울 종로구 인사동12길 7 서울 종로구 인사동12길 7
헬로인디아,서울 마포구 연남로3길 9 서울 마포구 연남로3길 9
별난오리,서울 종로구 종로46길 12 서울 종로구 종로46길 12
일도씨닭갈비 광화문점,서울 중구 세종대로 136 서울 중구 세종대로 136
일도씨닭갈비 미아점,서울 강북구 도봉로10가길 8-13 서울 강북구 도봉로10가길 8-13
일도씨닭갈비 방배점,서울 서초구 방배로8길 4 서울 서초구 방배로8길 4
일도씨닭갈비 목동점,서울 양천구 목동동로 293 서울 양천구 목동동로 293
러빙헛 카페,서울 강남구 개포로22길 35 서울 강남구 개포로22길 35
세종마을 치킨,서울 종로구 자하문로1길 24-1 서울 종로구 자하문로1길 24-1
