,Unnamed: 0,Q2A1,Q5_1,QQ_1,QQ_2,QQ_3,QQ_4,QQ_5,QQ_6,QQ_7,QQ_8,QQ_9,QQ_10,QQ_11,QQ_12,QQ_13,QQ_14,CQ14_1T,D_COU,D_GEN,Q16_a
59,59,2.0,1.0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1.0,7,1.0,1
60,60,2.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,7,2.0,1
61,61,2.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,7,2.0,1
62,62,3.0,1.0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,3.0,7,2.0,1
63,63,2.0,1.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1.0,7,1.0,0
64,64,2.0,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2.0,7,1.0,1
65,65,2.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,5.0,7,1.0,1
66,66,3.0,1.0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,2.0,7,2.0,1
67,67,2.0,1.0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,3.0,7,1.0,1
68,68,3.0,1.0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,2.0,7,2.0,1
69,69,1.0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3.0,7,1.0,1
70,70,4.0,2.0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2.0,7,1.0,1
71,71,3.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1.0,7,2.0,1
72,72,3.0,4.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,6.0,7,1.0,1
73,73,2.0,1.0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,2.0,7,2.0,0
74,74,2.0,1.0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,5.0,7,1.0,1
75,75,2.0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3.0,15,1.0,1
