,Q2A1,Q5_1,QQ_1,QQ_2,QQ_3,QQ_4,QQ_5,QQ_6,QQ_7,QQ_8,QQ_9,QQ_10,QQ_11,QQ_12,QQ_13,QQ_14,CQ14_1T,D_COU,D_GEN,Q16_a
11808,4.0,2.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,3.0,0,1.0,1
11809,3.0,1.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,3.0,0,2.0,1
11810,1.0,1.0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,6.0,0,2.0,1
11811,1.0,1.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0,0,2.0,1
11812,1.0,1.0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,2.0,0,2.0,1
11813,3.0,1.0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,2.0,0,2.0,1
11814,2.0,1.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2.0,0,1.0,0
11815,2.0,1.0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1.0,0,1.0,1
11816,3.0,1.0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1.0,0,1.0,1
11817,3.0,1.0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1.0,0,2.0,1
11818,2.0,1.0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,2.0,0,1.0,1
11819,2.0,1.0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,5.0,0,2.0,1
11820,2.0,1.0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,2.0,0,1.0,1
11821,4.0,3.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3.0,0,1.0,1
11822,2.0,1.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,3.0,0,2.0,1
11823,4.0,2.0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,6.0,0,1.0,1
11824,3.0,3.0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1.0,0,1.0,1
11825,2.0,1.0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1.0,0,2.0,1
11826,2.0,1.0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,3.0,0,2.0,1
11827,4.0,2.0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,2.0,0,1.0,1
11828,1.0,3.0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1.0,0,2.0,1
11829,1.0,2.0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,3.0,0,1.0,1
11830,1.0,3.0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,5.0,0,2.0,1
11831,3.0,2.0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,3.0,0,2.0,1
11832,1.0,1.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0,2.0,1
11833,2.0,1.0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,4.0,0,1.0,1
11834,1.0,1.0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,2.0,0,2.0,1
11835,3.0,1.0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,2.0,0,1.0,1
11836,3.0,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,2.0,0,2.0,1
11837,2.0,1.0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,3.0,0,1.0,1
11838,2.0,1.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1.0,0,1.0,1
11839,3.0,1.0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,2.0,0,1.0,1
11840,2.0,1.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2.0,0,2.0,1
11841,2.0,1.0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,2.0,0,1.0,1
11842,3.0,1.0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1.0,0,2.0,1
11843,3.0,1.0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,3.0,0,2.0,1
11844,3.0,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,3.0,0,2.0,1
11845,3.0,1.0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,3.0,0,2.0,1
11846,3.0,1.0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,2.0,0,2.0,0
11847,3.0,1.0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,3.0,0,2.0,1
11848,4.0,2.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2.0,0,1.0,1
11849,3.0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2.0,0,2.0,1
11850,4.0,1.0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,5.0,0,2.0,1
11851,1.0,2.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5.0,0,2.0,0
11852,4.0,2.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,4.0,0,1.0,1
11853,2.0,1.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,5.0,0,2.0,1
11854,4.0,1.0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,2.0,0,1.0,1
11855,2.0,1.0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,2.0,0,2.0,1
11856,3.0,1.0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,4.0,0,2.0,1
11857,4.0,2.0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,5.0,0,1.0,1
11858,1.0,1.0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,4.0,0,2.0,1
11859,2.0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4.0,0,1.0,1
11860,1.0,2.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,2.0,0,1.0,1
11861,1.0,3.0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,3.0,0,2.0,1
11862,2.0,1.0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,2.0,0,1.0,1
11863,1.0,1.0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,2.0,0,1.0,1
11864,2.0,2.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,3.0,0,1.0,1
11865,1.0,1.0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,2.0,0,2.0,0
11866,2.0,1.0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,3.0,0,2.0,1
11867,2.0,5.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1.0,0,1.0,1
11868,1.0,5.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,4.0,0,2.0,1
11869,1.0,2.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,2.0,0,1.0,1
11870,2.0,1.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,4.0,0,2.0,1
11871,2.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0,0,1.0,1
11872,3.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,5.0,0,2.0,1
11873,2.0,1.0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1.0,0,1.0,1
