,Q2A1,Q5_1,QQ_1,QQ_2,QQ_3,QQ_4,QQ_5,QQ_6,QQ_7,QQ_8,QQ_9,QQ_10,QQ_11,QQ_12,QQ_13,QQ_14,CQ14_1T,D_COU,D_GEN,D_AGE,Q16_a,Q15_2A1,Q15_2A2,Q15_2A3,Q15_2A4,Q15_2A5,Q15_2A6,Q15_2A7,Q15_2A8,Q15_2A9,Q15_2A10,Q15_2A11,Q15_2A12,Q10_2A1
0,,2.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,1,1.0,2.0,1,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,2.0
1,,2.0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,2.0,1,1.0,3.0,1,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0
2,4.0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,1.0,2.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,14.0
3,4.0,2.0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,3.0,1,1.0,4.0,1,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,3.0,5.0,5.0,78.0
4,2.0,1.0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,3.0,0,1.0,1.0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0
5,,1.0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,6.0,1,1.0,2.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,100.0
6,2.0,1.0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,2.0,1,1.0,3.0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0
7,4.0,1.0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,3.0,0,2.0,2.0,1,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0
8,4.0,1.0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,3.0,0,2.0,3.0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,1.0
9,2.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2.0,1,1.0,5.0,0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,5.0,109.0
10,4.0,1.0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1.0,0,2.0,4.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,80.0
11,2.0,1.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2.0,1,1.0,2.0,1,5.0,5.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,5.0,5.0,4.0
12,3.0,1.0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,2.0,0,2.0,2.0,1,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,1.0
13,,1.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0,1,1.0,3.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0
14,3.0,1.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,2.0,0,2.0,2.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,108.0
15,,1.0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,6.0,1,1.0,5.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,19.0
16,3.0,1.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,2.0,0,2.0,2.0,1,3.0,3.0,3.0,3.0,5.0,5.0,4.0,5.0,2.0,2.0,5.0,3.0,2.0
17,2.0,1.0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,98.0,1,2.0,5.0,1,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,7.0
18,2.0,1.0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,2.0,0,2.0,5.0,1,4.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,1.0,3.0,4.0,4.0,5.0
19,,1.0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,4.0,1,2.0,3.0,1,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0
20,2.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2.0,0,1.0,3.0,1,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,7.0
21,5.0,3.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.0,1,1.0,2.0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,308.0
22,,1.0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1.0,0,1.0,2.0,1,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,1.0
23,,1.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2.0,1,1.0,4.0,1,4.0,5.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,3.0,563.0
24,,2.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,5.0,0,1.0,2.0,1,5.0,5.0,3.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,11.0
25,,2.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,1,1.0,4.0,1,4.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0,1.0
26,2.0,1.0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,2.0,0,1.0,4.0,1,4.0,0.0,3.0,3.0,4.0,4.0,0.0,5.0,2.0,3.0,4.0,4.0,62.0
27,,1.0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1.0,1,1.0,2.0,1,5.0,4.0,5.0,5.0,2.0,3.0,3.0,5.0,1.0,5.0,5.0,5.0,10.0
28,4.0,2.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,1,1.0,3.0,1,3.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,14.0
29,2.0,1.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,3.0,0,2.0,2.0,1,5.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,62.0
30,2.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2.0,0,2.0,4.0,1,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,57.0
31,2.0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2.0,0,1.0,3.0,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
32,2.0,1.0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,2.0,0,1.0,6.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,80.0
33,3.0,1.0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,3.0,0,1.0,4.0,1,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,80.0
34,2.0,1.0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,2.0,0,2.0,4.0,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,80.0
35,,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,2.0,0,1.0,2.0,1,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,2.0,3.0,4.0,5.0,1.0
36,2.0,1.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,3.0,0,1.0,4.0,1,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,1.0
37,3.0,1.0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,4.0,0,2.0,1.0,0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,10.0
38,2.0,1.0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,3.0,0,1.0,5.0,1,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0,5.0,57.0
39,2.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2.0,0,2.0,5.0,0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,3.0,5.0,5.0,1.0
40,2.0,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,2.0,0,2.0,5.0,1,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,0.0,1.0
41,2.0,1.0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1.0,0,1.0,3.0,1,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,1.0
42,2.0,1.0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,3.0,0,2.0,4.0,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,10.0
43,2.0,1.0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,2.0,0,1.0,2.0,1,4.0,4.0,4.0,5.0,4.0,3.0,4.0,5.0,5.0,3.0,5.0,5.0,62.0
44,2.0,1.0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,3.0,0,2.0,2.0,1,5.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,2.0,62.0
45,,1.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2.0,1,2.0,2.0,1,5.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,1.0
46,2.0,1.0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,5.0,0,2.0,3.0,1,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,1.0
47,4.0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,1,1.0,3.0,1,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,16.0
48,2.0,1.0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,4.0,0,2.0,4.0,1,4.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,2.0,2.0,4.0,5.0,62.0
49,3.0,1.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0,0,1.0,4.0,1,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0
50,2.0,1.0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,2.0,0,2.0,5.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,3.0
51,2.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,4.0,0,2.0,2.0,1,5.0,0.0,0.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,81.0
52,3.0,1.0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1.0,0,2.0,2.0,1,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,1.0
53,3.0,1.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2.0,0,2.0,5.0,1,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,80.0
54,2.0,1.0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,5.0,1,1.0,3.0,1,5.0,5.0,5.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,5.0,5.0,62.0
55,4.0,1.0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,3.0,0,1.0,5.0,1,4.0,3.0,3.0,4.0,3.0,5.0,5.0,4.0,2.0,3.0,3.0,4.0,62.0
56,,1.0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1.0,0,2.0,2.0,1,5.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,2.0,3.0,5.0,5.0,1.0
57,4.0,1.0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,3.0,0,2.0,3.0,0,4.0,4.0,1.0,2.0,3.0,3.0,5.0,5.0,2.0,2.0,2.0,5.0,4.0
58,2.0,2.0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,2.0,0,2.0,4.0,1,4.0,5.0,3.0,5.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,57.0
59,2.0,1.0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1.0,0,1.0,5.0,1,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,80.0
60,2.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,2.0,5.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0
61,2.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,2.0,4.0,1,4.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,5.0,5.0
62,3.0,1.0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,3.0,0,2.0,3.0,1,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0
63,2.0,1.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1.0,0,1.0,2.0,0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,5.0
64,2.0,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2.0,0,1.0,5.0,1,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,80.0
65,2.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,5.0,0,1.0,4.0,1,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,3.0,5.0,4.0,62.0
66,3.0,1.0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,2.0,0,2.0,3.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0
67,2.0,1.0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,3.0,0,1.0,2.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0
68,3.0,1.0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,2.0,0,2.0,2.0,1,3.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,4.0
69,,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3.0,0,1.0,4.0,1,4.0,2.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,4.0,107.0
70,4.0,2.0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2.0,0,1.0,4.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,45.0
71,3.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1.0,0,2.0,2.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,80.0
72,3.0,4.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,6.0,0,1.0,5.0,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0
73,2.0,1.0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,2.0,0,2.0,5.0,0,3.0,5.0,4.0,5.0,3.0,4.0,4.0,5.0,3.0,3.0,5.0,5.0,4.0
74,2.0,1.0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,5.0,0,1.0,2.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,5.0,10.0
75,2.0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3.0,1,1.0,2.0,1,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,3.0
76,,1.0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,2.0,0,2.0,4.0,1,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0
77,2.0,1.0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,3.0,0,2.0,2.0,1,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,80.0
78,2.0,1.0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,2.0,0,1.0,2.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,1.0
79,2.0,1.0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,5.0,1,1.0,5.0,1,4.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,1.0
80,,1.0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,2.0,0,2.0,3.0,1,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,62.0
81,,2.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,1.0,3.0,1,4.0,4.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,14.0
82,2.0,1.0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,2.0,0,1.0,3.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,80.0
83,2.0,1.0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,5.0,0,2.0,2.0,1,3.0,4.0,4.0,4.0,3.0,3.0,2.0,5.0,3.0,3.0,4.0,5.0,1.0
84,2.0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,98.0,1,2.0,5.0,1,5.0,0.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,293.0
85,2.0,1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3.0,0,1.0,2.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,80.0
86,2.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1.0,0,2.0,4.0,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,62.0
87,3.0,1.0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,2.0,0,2.0,2.0,1,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,1.0
88,2.0,1.0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1.0,0,2.0,2.0,0,3.0,2.0,2.0,3.0,4.0,5.0,3.0,4.0,2.0,2.0,4.0,4.0,1.0
89,2.0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1.0,0,2.0,5.0,1,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,2.0,3.0,5.0,5.0,1.0
90,3.0,1.0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1.0,0,2.0,4.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0
91,3.0,1.0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,3.0,0,2.0,5.0,1,4.0,2.0,2.0,5.0,3.0,5.0,4.0,5.0,2.0,3.0,5.0,5.0,77.0
92,4.0,1.0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,2.0,0,2.0,5.0,1,5.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0
93,2.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,3.0,0,2.0,2.0,1,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,2.0,1.0
94,4.0,1.0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,3.0,0,1.0,5.0,1,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,1.0
95,3.0,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,2.0,0,1.0,4.0,0,3.0,3.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,10.0
96,3.0,2.0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,5.0,0,1.0,2.0,0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0
97,2.0,1.0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,2.0,0,1.0,3.0,0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0
98,,1.0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,2.0,0,2.0,5.0,1,5.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0
99,,2.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.0,1,1.0,4.0,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,16.0
100,2.0,1.0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,3.0,0,1.0,5.0,1,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,1.0
101,2.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.0,0,2.0,2.0,1,4.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,2.0
102,,2.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,2.0,1,1.0,2.0,0,5.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0
103,3.0,3.0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,4.0,0,1.0,2.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0
104,2.0,1.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1.0,0,2.0,2.0,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,5.0
105,,1.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2.0,0,1.0,4.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,1.0
106,2.0,1.0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,4.0,0,1.0,2.0,1,2.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,1.0,4.0,4.0,4.0,80.0
107,2.0,1.0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1.0,0,1.0,5.0,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,1.0
108,3.0,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,6.0,0,2.0,2.0,1,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,1.0
109,2.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0,2.0,2.0,1,3.0,4.0,4.0,4.0,4.0,4.0,0.0,3.0,3.0,3.0,4.0,4.0,5.0
110,2.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,3.0,0,1.0,3.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,208.0
111,4.0,2.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1.0,1,1.0,5.0,1,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0
112,2.0,1.0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1.0,0,1.0,3.0,1,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,5.0,14.0
113,2.0,1.0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,5.0,0,1.0,2.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0
114,,1.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,2.0,0,2.0,2.0,1,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,10.0
115,,2.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.0,1,1.0,3.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0
116,2.0,2.0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,3.0,1,1.0,2.0,1,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,0.0,41.0
117,3.0,1.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,3.0,0,2.0,2.0,1,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,3.0,5.0,4.0,57.0
118,,1.0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,6.0,0,1.0,2.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,80.0
119,,1.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2.0,0,2.0,5.0,1,4.0,5.0,3.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,1.0
120,,2.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6.0,1,1.0,4.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0
121,3.0,1.0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,4.0,1,1.0,3.0,1,5.0,5.0,5.0,5.0,3.0,4.0,0.0,5.0,3.0,4.0,5.0,5.0,14.0
122,3.0,1.0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,2.0,0,2.0,3.0,1,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,5.0,4.0,14.0
123,3.0,1.0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,3.0,0,1.0,2.0,0,4.0,5.0,4.0,5.0,3.0,5.0,3.0,4.0,3.0,3.0,5.0,5.0,109.0
124,2.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,2.0,2.0,1,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,1.0
125,2.0,1.0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,3.0,0,2.0,3.0,1,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,1.0
126,2.0,1.0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1.0,1,2.0,4.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0
127,2.0,1.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2.0,0,2.0,2.0,1,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0
128,,2.0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,2.0,1,2.0,4.0,1,5.0,4.0,5.0,4.0,4.0,5.0,4.0,0.0,4.0,4.0,5.0,5.0,1.0
129,3.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2.0,0,2.0,5.0,0,4.0,5.0,2.0,4.0,4.0,3.0,4.0,5.0,1.0,3.0,4.0,5.0,1.0
