,Q2A1,Q5_1,QQ_1,QQ_2,QQ_3,QQ_4,QQ_5,QQ_6,QQ_7,QQ_8,QQ_9,QQ_10,QQ_11,QQ_12,QQ_13,QQ_14,CQ14_1T,D_COU,D_GEN,D_AGE,Q16_a,Q15_2A1,Q15_2A2,Q15_2A3,Q15_2A4,Q15_2A5,Q15_2A6,Q15_2A7,Q15_2A8,Q15_2A9,Q15_2A10,Q15_2A11,Q15_2A12,Q10_2A1
1088,2.0,1.0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,2.0,0,2.0,2.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0
1089,2.0,1.0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1.0,0,2.0,3.0,1,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,74.0
1090,2.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3.0,0,2.0,2.0,1,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,13.0
1091,4.0,1.0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,3.0,0,1.0,2.0,1,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,62.0
1092,,2.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2.0,0,2.0,3.0,1,4.0,3.0,4.0,4.0,3.0,4.0,0.0,4.0,3.0,4.0,5.0,5.0,564.0
1093,4.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3.0,0,2.0,2.0,1,4.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,62.0
1094,,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,98.0,1,2.0,4.0,1,5.0,5.0,5.0,3.0,5.0,5.0,0.0,0.0,5.0,4.0,5.0,5.0,70.0
1095,4.0,2.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,5.0,1,1.0,4.0,1,5.0,5.0,4.0,5.0,3.0,3.0,3.0,4.0,1.0,2.0,5.0,5.0,98.0
1096,,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,5.0,1,5.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,215.0
1097,2.0,1.0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,2.0,1,2.0,2.0,1,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,5.0,5.0,1.0
1098,,2.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,1,1.0,2.0,1,5.0,5.0,5.0,5.0,5.0,4.0,0.0,5.0,4.0,4.0,5.0,5.0,6.0
1099,,2.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6.0,1,1.0,5.0,1,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0
1100,,2.0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,2.0,1,1.0,3.0,1,5.0,4.0,4.0,5.0,2.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0
1101,3.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0,1,2.0,5.0,1,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,16.0
1102,,2.0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,5.0,1,1.0,3.0,0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,1.0
1103,,2.0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,2.0,0,2.0,2.0,1,5.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0,3.0,3.0,5.0,5.0,1.0
1104,,2.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2.0,1,1.0,4.0,1,5.0,4.0,4.0,5.0,4.0,2.0,2.0,4.0,3.0,3.0,4.0,5.0,1.0
1105,3.0,3.0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,6.0,1,2.0,3.0,0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,57.0
1106,2.0,1.0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,5.0,0,2.0,4.0,1,5.0,5.0,2.0,5.0,4.0,5.0,4.0,5.0,1.0,3.0,4.0,5.0,72.0
1107,,1.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1.0,1,2.0,3.0,1,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0
1108,3.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1.0,6.0,1,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,5.0,16.0
1109,,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0,0,2.0,2.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,1.0
1110,4.0,2.0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,3.0,0,2.0,4.0,1,4.0,3.0,3.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,5.0,1.0
1111,,2.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2.0,1,1.0,4.0,1,5.0,4.0,4.0,5.0,4.0,2.0,4.0,5.0,4.0,4.0,5.0,5.0,49.0
1112,4.0,2.0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,5.0,0,1.0,3.0,1,4.0,2.0,2.0,3.0,2.0,4.0,2.0,4.0,2.0,4.0,5.0,5.0,4.0
1113,,1.0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,4.0,1,1.0,2.0,1,5.0,4.0,3.0,4.0,4.0,5.0,3.0,5.0,3.0,3.0,5.0,5.0,10.0
1114,4.0,2.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2.0,1,1.0,3.0,0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,5.0,4.0,3.0
1115,4.0,2.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,3.0,1,1.0,3.0,1,5.0,5.0,4.0,5.0,5.0,3.0,3.0,5.0,3.0,3.0,5.0,5.0,61.0
1116,,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0,1.0,5.0,1,3.0,4.0,2.0,3.0,4.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,664.0
1117,4.0,2.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,2.0,0,1.0,2.0,1,4.0,4.0,4.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,4.0,1.0
1118,3.0,1.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,4.0,1,1.0,2.0,1,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,5.0,61.0
1119,2.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2.0,1,1.0,6.0,0,4.0,5.0,2.0,5.0,2.0,4.0,3.0,4.0,2.0,3.0,5.0,4.0,4.0
1120,2.0,1.0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,2.0,0,1.0,5.0,1,4.0,2.0,2.0,3.0,5.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,1.0
1121,2.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,3.0,1,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,5.0,5.0,4.0
1122,,2.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2.0,0,1.0,5.0,1,5.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,48.0
1123,3.0,1.0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,2.0,1,2.0,2.0,1,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,14.0
1124,3.0,1.0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,2.0,1,2.0,6.0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0
1125,4.0,1.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2.0,0,1.0,2.0,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,1.0
1126,2.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0,0,2.0,2.0,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0
1127,2.0,1.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,2.0,0,1.0,4.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0
1128,2.0,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,98.0,0,2.0,2.0,1,4.0,0.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,80.0
