,2019,2019,2018,2018,2017,2017,2016,2016,2015,2015,2014,2014
,D,S,D,S,D,S,D,S,D,S,D,S
말레이시아,0.5,93.8,0.7,91.6,0.5,93.1,0,94.4,0.3,95.9,0,95.6
중동전체,0.1,97.1,0.8,95.3,0.2,97.9,0.4,98,0.4,96.9,0,96.9
중앙아시아,0,97.9,0,0,0,0,0,0,0,0,0,0
GCC,0,95.2,0,0,0,0,0,0,0,0,0,0
기타중동,0.4,96,0,0,0,0,0,0,0,0,0,0
인도네시아,0.1,92.5,0.5,93.4,1,91.8,0,0,0,0,0,0
