,2019,2019,2018,2018,2017,2017,2016,2016,2015,2015,2014,2014
,D,S,D,S,D,S,D,S,D,S,D,S
말레이시아,17.4,45.5,16.1,47.6,15.5,47.9,14.2,48.9,15.1,43.6,16.8,41.2
중동전체,16.6,58.7,17.2,53.3,11.7,60.8,8.3,72.2,11.1,63.1,10,61.5
중앙아시아,10.1,68.1,0,0,0,0,0,0,0,0,0,0
GCC,29.5,43.3,0,0,0,0,0,0,0,0,0,0
기타중동,26.6,41.9,0,0,0,0,0,0,0,0,0,0
인도네시아,20.6,47.7,18.2,49,20.4,36.9,0,0,0,0,0,0
